School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester,Alcoholic
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,High School,Teacher,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Fair,High,Moderate,Fair,4,11,10,0
Mousinho da Silveira,Male,16,Rural,Up to 3,Living Together,Higher Education,Primary School,other,Homemaker,Other,Father,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Good,Very Low,Low,Poor,0,10,11,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,High School,Services,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,High,Good,8,10,11,0
Mousinho da Silveira,Female,18,Rural,Above 3,Living Together,Higher Education,Higher Education,other,Teacher,Other,Father,30 min to 1h,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Fair,Low,Low,Very Good,0,7,5,1
Mousinho da Silveira,Male,17,Urban,Up to 3,Separated,Primary School,None,other,other,Near Home,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,No,Yes,Good,Very Low,Low,Very Good,4,11,11,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,Primary School,Services,other,Course Preference,Mother,Up to 15 min,More than 10h,Yes,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,0,10,9,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,High School,Homemaker,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Good,Low,Very High,Very Good,2,11,12,1
Gabriel Pereira,Male,15,Rural,Above 3,Living Together,Lower Secondary School,High School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,Yes,No,Yes,Yes,Yes,Yes,No,No,Good,High,High,Very Poor,0,7,8,0
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,Higher Education,Primary School,Health,Homemaker,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,No,Yes,Fair,Low,Low,Very Good,0,8,10,0
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,Lower Secondary School,Primary School,Services,other,Course Preference,Mother,More than 1h,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Good,Very High,Very High,Very Good,0,12,11,1
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Health,other,Reputation,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Excellent,High,Very High,Very Good,4,10,12,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Higher Education,High School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent,Low,Moderate,Poor,4,11,11,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Primary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Fair,Very High,Very High,Very Poor,4,7,8,0
Gabriel Pereira,Female,17,Urban,Above 3,Separated,Higher Education,High School,Services,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,Low,Low,Very Good,14,15,14,0
Mousinho da Silveira,Female,15,Rural,Up to 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Near Home,Mother,15 to 30 min,Up to 2h,No,No,No,No,Yes,No,No,No,Very Poor,Moderate,High,Very Poor,0,6,8,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Reputation,Father,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Poor,Moderate,Moderate,Poor,4,12,11,0
Gabriel Pereira,Female,18,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,other,Course Preference,Mother,15 to 30 min,More than 10h,No,No,No,Yes,Yes,Yes,No,No,Good,High,High,Good,6,14,13,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Primary School,High School,Homemaker,other,Other,Father,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,No,Yes,Yes,Good,Moderate,Moderate,Very Good,11,10,11,0
Gabriel Pereira,Female,16,Urban,Above 3,Separated,Lower Secondary School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,No,Fair,Moderate,High,Good,0,13,13,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,High School,Higher Education,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Very Good,6,16,16,0
Mousinho da Silveira,Male,16,Rural,Above 3,Living Together,Lower Secondary School,Primary School,other,Services,Reputation,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,Low,Very Low,Poor,0,8,7,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,other,Near Home,Mother,15 to 30 min,2 to 5h,Yes,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Very High,Poor,16,11,10,0
Mousinho da Silveira,Male,15,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Health,other,Reputation,Mother,30 min to 1h,Up to 2h,No,No,No,No,Yes,Yes,No,No,Good,Moderate,Moderate,Good,1,13,12,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,High School,other,Services,Near Home,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Moderate,Very Good,4,11,11,1
Mousinho da Silveira,Female,20,Urban,Above 3,Living Together,High School,High School,Homemaker,Services,Other,Mother,15 to 30 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Fair,Moderate,High,Fair,8,11,9,1
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,High School,Homemaker,Services,Course Preference,Father,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,Low,Moderate,Good,0,10,10,0
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,High School,Higher Education,other,other,Reputation,Father,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Fair,High,Moderate,Good,2,14,13,0
Mousinho da Silveira,Male,16,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,other,Other,Father,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,No,Fair,High,High,Very Good,6,11,11,1
Mousinho da Silveira,Female,18,Rural,Up to 3,Living Together,Higher Education,Higher Education,other,other,Reputation,Mother,15 to 30 min,5 to 10h,No,No,No,No,Yes,Yes,Yes,No,Excellent,High,High,Very Poor,0,15,17,0
Mousinho da Silveira,Female,19,Rural,Above 3,Separated,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Other,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,No,No,Yes,Fair,Very High,High,Very Poor,0,8,0,1
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,High School,High School,Services,Services,Reputation,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Good,0,11,10,1
Mousinho da Silveira,Male,15,Urban,Up to 3,Separated,Lower Secondary School,Lower Secondary School,other,other,Reputation,Mother,30 min to 1h,More than 10h,No,Yes,No,Yes,Yes,Yes,No,No,Excellent,High,Very High,Very Good,8,13,14,0
Gabriel Pereira,Female,20,Urban,Above 3,Living Together,Primary School,None,other,other,Reputation,Mother,15 to 30 min,Up to 2h,Yes,No,No,No,Yes,Yes,Yes,Yes,Excellent,Moderate,Very Low,Very Good,5,8,10,0
Gabriel Pereira,Female,21,Urban,Up to 3,Living Together,Higher Education,Higher Education,other,other,Reputation,Other,Up to 15 min,5 to 10h,No,No,Yes,Yes,Yes,Yes,Yes,No,Fair,Moderate,Low,Very Good,0,9,12,0
Mousinho da Silveira,Female,16,Urban,Up to 3,Living Together,Higher Education,Higher Education,Services,Services,Other,Father,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,No,No,Excellent,Very Low,Moderate,Very Good,1,11,11,0
Gabriel Pereira,Male,15,Urban,Up to 3,Separated,High School,Lower Secondary School,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,Low,Very Poor,0,15,16,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Primary School,Lower Secondary School,other,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,No,No,Very Poor,Moderate,Low,Good,0,10,8,0
Gabriel Pereira,Male,15,Urban,Up to 3,Living Together,Higher Education,High School,Teacher,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,High,Moderate,Good,0,14,14,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Homemaker,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Moderate,Very Good,4,13,14,0
Gabriel Pereira,Female,18,Urban,Up to 3,Separated,Lower Secondary School,Higher Education,Services,other,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Fair,18,10,10,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,High School,other,other,Near Home,Mother,Up to 15 min,5 to 10h,No,No,No,Yes,No,Yes,No,No,Fair,Low,Moderate,Good,2,15,12,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,Primary School,Lower Secondary School,other,other,Reputation,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Excellent,High,Very High,Poor,0,14,14,1
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,Services,Course Preference,Father,30 min to 1h,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,Moderate,High,Poor,1,14,13,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Higher Education,Higher Education,other,other,Reputation,Father,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Low,Very High,Very Good,2,8,9,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,Services,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,No,Yes,Yes,Yes,No,Good,Low,Moderate,Very Good,2,16,15,0
Gabriel Pereira,Female,16,Rural,Above 3,Living Together,High School,High School,Services,other,Reputation,Father,Up to 15 min,5 to 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Very Low,Low,Poor,4,11,11,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,High School,Lower Secondary School,Services,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,No,Yes,Yes,Yes,Fair,Very Low,Low,Very Poor,4,10,13,0
Mousinho da Silveira,Female,16,Urban,Up to 3,Separated,Lower Secondary School,Lower Secondary School,Homemaker,other,Reputation,Mother,15 to 30 min,More than 10h,No,No,No,Yes,No,No,No,Yes,Very Poor,Low,Very Low,Very Poor,4,10,9,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,Services,Other,Mother,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,No,Yes,Good,Very Low,Moderate,Poor,6,10,10,0
Gabriel Pereira,Female,17,Rural,Up to 3,Separated,Primary School,Higher Education,other,other,Course Preference,Other,More than 1h,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,Very High,High,Very Good,14,9,9,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Other,Mother,15 to 30 min,2 to 5h,Yes,No,Yes,No,Yes,Yes,No,No,Excellent,Very Low,Moderate,Very Good,0,11,9,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,Services,Other,Mother,15 to 30 min,Up to 2h,No,No,No,No,No,No,No,No,Excellent,Low,Low,Good,0,9,10,0
Gabriel Pereira,Female,15,Urban,Above 3,Separated,High School,High School,Services,Services,Near Home,Mother,Up to 15 min,2 to 5h,No,No,No,No,No,Yes,No,Yes,Very Poor,Moderate,Low,Very Poor,24,9,8,0
Gabriel Pereira,Female,17,Urban,Up to 3,Separated,Higher Education,Lower Secondary School,Teacher,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,No,Good,Moderate,Low,Good,4,15,14,0
Mousinho da Silveira,Female,17,Urban,Up to 3,Living Together,Higher Education,Higher Education,Homemaker,Homemaker,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Poor,Moderate,High,Very Poor,4,15,14,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,High School,Higher Education,Homemaker,Services,Course Preference,Father,Up to 15 min,5 to 10h,No,Yes,No,Yes,No,Yes,Yes,No,Good,Moderate,High,Very Good,2,15,15,1
Mousinho da Silveira,Female,16,Urban,Above 3,Separated,High School,Lower Secondary School,Services,Homemaker,Course Preference,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,Yes,Poor,Very High,Very High,Very Poor,8,5,5,0
Gabriel Pereira,Female,15,Rural,Above 3,Living Together,High School,Higher Education,Services,Health,Course Preference,Mother,Up to 15 min,5 to 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Good,2,11,12,0
Gabriel Pereira,Female,19,Urban,Above 3,Living Together,None,Primary School,Homemaker,other,Course Preference,Other,Up to 15 min,2 to 5h,No,Yes,No,No,No,No,No,No,Fair,High,Low,Very Good,0,9,10,0
Gabriel Pereira,Male,17,Urban,Up to 3,Separated,High School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,High,Very Good,10,16,18,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,High School,Primary School,Services,other,Other,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,High,High,Very Good,0,11,11,1
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,High School,Lower Secondary School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Very Poor,Low,Low,Very Poor,8,14,15,0
Gabriel Pereira,Male,20,Urban,Above 3,Separated,High School,Lower Secondary School,Services,other,Course Preference,Other,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,No,Excellent,Very High,Moderate,Very Good,0,14,15,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,High School,High School,Homemaker,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,High,High,Very Good,4,10,10,0
Gabriel Pereira,Male,16,Urban,Up to 3,Living Together,Primary School,Primary School,Services,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,No,No,No,Yes,Yes,No,Yes,Good,High,High,Very Good,0,10,10,0
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,Services,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,No,Yes,No,No,No,Good,High,Low,Poor,2,9,10,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Primary School,Primary School,other,Services,Reputation,Mother,30 min to 1h,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Excellent,Low,Very Low,Very Poor,0,8,8,0
Gabriel Pereira,Male,19,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Excellent,Moderate,High,Good,10,7,11,1
Mousinho da Silveira,Male,20,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Other,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,No,Yes,Yes,Good,High,Moderate,Good,12,8,11,1
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Moderate,Low,Very Good,6,13,14,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Other,Up to 15 min,More than 10h,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Poor,Low,Very Low,Very Good,0,14,14,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,Lower Secondary School,other,other,Reputation,Mother,15 to 30 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Fair,0,16,16,0
Gabriel Pereira,Male,17,Urban,Up to 3,Separated,Higher Education,Primary School,Services,other,Near Home,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,Yes,Good,Very High,High,Very Good,22,11,11,1
Mousinho da Silveira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,other,Teacher,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,Yes,Good,Moderate,Very Low,Fair,0,13,12,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,No,Fair,High,High,Very Good,4,12,13,1
Mousinho da Silveira,Female,17,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,Health,Course Preference,Father,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,Low,Very High,Very Good,0,13,15,0
Gabriel Pereira,Male,16,Rural,Above 3,Living Together,Higher Education,High School,Services,other,Reputation,Mother,15 to 30 min,Up to 2h,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Fair,Moderate,Moderate,Good,6,9,11,0
Gabriel Pereira,Female,18,Urban,Above 3,Separated,High School,Lower Secondary School,other,Services,Course Preference,Other,Up to 15 min,5 to 10h,No,Yes,No,Yes,No,Yes,Yes,Yes,Good,Moderate,Moderate,Very Good,10,12,11,1
Gabriel Pereira,Female,18,Rural,Above 3,Living Together,High School,Primary School,other,other,Reputation,Mother,Up to 15 min,2 to 5h,No,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,Moderate,Moderate,Good,4,8,8,0
Gabriel Pereira,Female,17,Rural,Above 3,Separated,High School,Lower Secondary School,other,other,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Poor,0,14,14,0
Mousinho da Silveira,Female,16,Rural,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,30 min to 1h,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,Very High,Good,4,9,10,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,No,Yes,Good,Moderate,Very High,Very Good,0,13,12,0
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Moderate,Very High,Very Good,2,10,10,1
Gabriel Pereira,Male,18,Urban,Above 3,Living Together,Primary School,Lower Secondary School,Homemaker,other,Near Home,Other,15 to 30 min,Up to 2h,No,No,No,No,No,No,Yes,No,Fair,High,High,Good,10,10,10,1
Gabriel Pereira,Male,22,Urban,Above 3,Living Together,High School,Primary School,Services,Services,Other,Mother,Up to 15 min,Up to 2h,No,No,No,No,No,No,Yes,Yes,Excellent,High,Very High,Very Poor,12,7,8,1
Gabriel Pereira,Female,18,Urban,Up to 3,Living Together,Primary School,Primary School,other,Homemaker,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,No,Yes,No,No,Good,High,Moderate,Fair,4,11,12,0
Gabriel Pereira,Female,18,Urban,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Excellent,Moderate,Very Low,Very Good,16,9,8,0
Gabriel Pereira,Male,18,Rural,Above 3,Living Together,Higher Education,High School,Teacher,Services,Course Preference,Mother,Up to 15 min,5 to 10h,No,No,No,No,Yes,Yes,Yes,Yes,Excellent,Moderate,Low,Good,4,15,14,0
Gabriel Pereira,Female,16,Urban,Up to 3,Living Together,Lower Secondary School,Higher Education,other,Health,Course Preference,Father,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Low,Low,Very Good,2,14,12,0
Gabriel Pereira,Female,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Health,Health,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,Low,Fair,0,16,16,0
Gabriel Pereira,Female,17,Urban,Above 3,Separated,High School,High School,Health,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,No,No,Yes,Yes,Yes,Fair,Moderate,Moderate,Fair,10,12,13,0
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Lower Secondary School,High School,other,other,Course Preference,Mother,15 to 30 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Excellent,Very High,Very High,Fair,2,10,11,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Higher Education,High School,Teacher,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Low,Moderate,Very Poor,0,10,10,0
Gabriel Pereira,Male,17,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Reputation,Mother,Up to 15 min,2 to 5h,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,Very High,Very High,Poor,0,13,13,0
Gabriel Pereira,Female,19,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,other,Near Home,Other,Up to 15 min,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,Yes,Fair,Low,Very High,Very Good,5,9,10,1
Mousinho da Silveira,Male,16,Urban,Up to 3,Living Together,Higher Education,High School,other,other,Course Preference,Father,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,Yes,Yes,No,Good,Low,Very High,Very Good,8,14,12,1
Mousinho da Silveira,Female,18,Rural,Up to 3,Separated,High School,Lower Secondary School,other,other,Course Preference,Other,15 to 30 min,5 to 10h,No,Yes,No,No,No,No,No,Yes,Fair,Moderate,Low,Poor,6,7,9,0
Mousinho da Silveira,Female,16,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,No,Yes,No,Yes,Good,Moderate,Moderate,Very Good,2,11,11,0
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,High School,Lower Secondary School,Services,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,Yes,No,Yes,No,Poor,Moderate,Very Low,Very Good,0,4,0,0
Mousinho da Silveira,Male,19,Urban,Above 3,Living Together,Lower Secondary School,Primary School,Homemaker,other,Course Preference,Other,15 to 30 min,Up to 2h,No,No,No,Yes,No,No,Yes,Yes,Good,High,Moderate,Very Good,4,8,9,0
Mousinho da Silveira,Male,18,Rural,Above 3,Living Together,Higher Education,Lower Secondary School,other,other,Near Home,Father,15 to 30 min,Up to 2h,No,No,Yes,No,Yes,Yes,No,No,Excellent,High,Moderate,Fair,0,7,7,1
Gabriel Pereira,Male,15,Urban,Above 3,Living Together,High School,Higher Education,Services,Services,Near Home,Father,Up to 15 min,Up to 2h,Yes,No,No,No,Yes,Yes,Yes,No,Excellent,Very High,Very High,Very Good,2,9,9,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,Higher Education,High School,Health,other,Reputation,Mother,Up to 15 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,High,Moderate,Good,0,11,12,0
Mousinho da Silveira,Female,17,Urban,Above 3,Separated,Primary School,None,other,other,Other,Mother,15 to 30 min,2 to 5h,No,No,No,No,Yes,Yes,Yes,Yes,Good,High,Very High,Good,1,11,9,0
Mousinho da Silveira,Female,16,Urban,Above 3,Living Together,High School,High School,other,other,Reputation,Mother,Up to 15 min,Up to 2h,No,No,No,Yes,Yes,No,Yes,Yes,Good,Very High,High,Good,0,14,13,0
Gabriel Pereira,Female,17,Rural,Above 3,Living Together,Higher Education,High School,Teacher,other,Reputation,Mother,15 to 30 min,5 to 10h,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,High,Low,Good,0,11,12,0
Gabriel Pereira,Female,18,Urban,Up to 3,Living Together,Higher Education,High School,other,other,Near Home,Other,15 to 30 min,2 to 5h,No,Yes,No,No,Yes,Yes,Yes,Yes,Good,High,Very High,Poor,0,13,14,0
Gabriel Pereira,Female,15,Urban,Above 3,Living Together,Higher Education,Higher Education,Services,Services,Course Preference,Mother,Up to 15 min,Up to 2h,Yes,Yes,No,No,Yes,Yes,Yes,No,Fair,Moderate,High,Very Good,0,13,12,0
Gabriel Pereira,Female,17,Urban,Above 3,Living Together,High School,Higher Education,Homemaker,Services,Near Home,Mother,Up to 15 min,5 to 10h,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Good,High,Moderate,Very Good,14,8,9,1
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Course Preference,Mother,15 to 30 min,5 to 10h,No,Yes,No,No,No,Yes,Yes,Yes,Fair,Low,Moderate,Very Poor,4,13,12,0
Mousinho da Silveira,Female,18,Rural,Up to 3,Living Together,Lower Secondary School,Lower Secondary School,Services,Services,Course Preference,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Poor,Moderate,Moderate,Good,3,7,6,0
Mousinho da Silveira,Female,18,Urban,Up to 3,Living Together,Primary School,Primary School,other,Homemaker,Reputation,Mother,15 to 30 min,2 to 5h,Yes,No,No,No,Yes,Yes,No,No,Poor,Moderate,Very High,Fair,8,9,8,1
Gabriel Pereira,Male,17,Urban,Up to 3,Living Together,Higher Education,Higher Education,Teacher,other,Reputation,Mother,Up to 15 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,High,High,Very Good,0,11,9,0
Mousinho da Silveira,Female,18,Urban,Above 3,Living Together,Primary School,Primary School,other,other,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,Yes,Yes,Yes,No,Yes,Fair,High,High,Very Good,3,7,8,0
Mousinho da Silveira,Female,15,Rural,Above 3,Living Together,High School,High School,other,Services,Course Preference,Father,15 to 30 min,Up to 2h,No,No,No,No,No,Yes,Yes,No,Good,Very Low,Moderate,Good,0,14,16,0
